author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Russell Turpin,Programming Data Structures in Logic.,"University of Texas, Austin",1992,,,,,,,,,,,,,,,,,,,
Frank Olken,Random Sampling from Databases,University of California at Berkeley,1993,,,LBL Technical Report,,,,,LBL-32883,,,,,,,,,,,
Guido Frisch,Using open source software to develop E-business applications for medium- and small-sized enterprises.,"Bratislava, Univ.",2009,1-151,https://d-nb.info/996716548,,,,,,,,,,,,,,978-3-8300-4753-7,,,
Laura Bonzano,Cortical neuronal populations and micro electrode arrays.,"University of Genoa, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0023322,,,,,,,,,,,,,,,,,
Stefano Di Carlo,Infrastructures and algorithms for testable and dependable systems-on-a-chip.,"Polytechnic University of Turin, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0002181,,,,,,,,,,,,,,,,,
Stefano Cresci,Harnessing the Social Sensing Revolution: Challenges and Opportunities.,"University of Pisa, Italy",2018,,"https://etd.adm.unipi.it/theses/available/etd-04272018-111548/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017649",,,,,,,,,,,,,,,,,
Fabio Carrara,Deep Learning for Image Classification and Retrieval: Analysis and Solutions to Current Limitations.,"University of Pisa, Italy",2019,,"https://etd.adm.unipi.it/theses/available/etd-04172019-123023/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017865",,,,,,,,,,,,,,,,,
Zhuoqi Cheng,Development and evaluation of hand-held robotic technology for safe and successful peripheral intravenous catheterization on pediatric patients.,"University of Genoa, Italy",2018,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028261, https://hdl.handle.net/11567/930619",,,,,,,,,,,,,,,,,
Kourosh Darvish,A Hierarchical Architecture for Flexible Human-Robot Collaboration.,"University of Genoa, Italy",2019,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028442, https://hdl.handle.net/11567/943848",,,,,,,,,,,,,,,,,
Piero Borga,Active opto-magnetic biosensing system on chip.,"Polytechnic University of Milan, Italy",2022,,https://hdl.handle.net/10589/188712,,,,,,,,,,,,,,,,,
Francesca Lunardini,Functional assessment methods amd EMG-based interventions for children with dystonia.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/122622,,,,,,,,,,,,,,,,,
Roberto Mura,Robust harmonic control for disturbance rejection: methods and applications.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/117514,,,,,,,,,,,,,,,,,
Valentina Bartalesi Lenzi,An ontology for narratives.,"University of Pisa, Italy",2017,,https://etd.adm.unipi.it/theses/available/etd-12312016-143000/,,,,,,,,,,,,,,,,,
Federico Nardi,Electrical characterization and physical modeling of unipolar/bipolar resistive switching materials.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/66181,,,,,,,,,,,,,,,,,
Franco Cicirelli,Service and agent computing paradigms for the development of distributed systems.,"University of Calabria, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0027345,,,,,,,,,,,,,,,,,
Veronica Penza,Study of computer vision algorithms to enhance the surgeon's capabilities in robotic minimally invasive surgery.,"Polytechnic University of Milan, Italy",2017,,https://hdl.handle.net/10589/133119,,,,,,,,,,,,,,,,,
Davide Tamborini,Time measurement instrumentation for Single-Photon Counting applications.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/113622,,,,,,,,,,,,,,,,,
